,news_article_title,urls,Partnership ,is_student_reported
15,Placentia Small Businesses Set to Receive Grants to Help With Pandemic Relief,https://voiceofoc.org/2021/03/placentia-small-businesses-set-to-receive-grants-to-help-with-pandemic-relief/,Voice of OC,True
17,Macon's 32nd Juneteenth events salute ‘Black Girl Magic' and Native American parallels,https://www.gpb.org/news/2024/06/14/macons-32nd-juneteenth-events-salute-black-girl-magic-and-native-american-parallels,Georgia Public Broadcasting,False
18,"Racial barrier breakers, community leaders to be honored",https://www.gpb.org/news/2024/06/14/racial-barrier-breakers-community-leaders-be-honored,Georgia Public Broadcasting,False
19,"‘I hope never to be in this position again,' elections board member says of no Saturday voting",https://www.gpb.org/news/2024/06/07/i-hope-never-be-in-position-again-elections-board-member-says-of-no-saturday-voting,Georgia Public Broadcasting,False
20,Tour Macon’s new Fine Fettle Georgia medical cannabis plant,https://www.gpb.org/news/2024/05/31/tour-macons-new-fine-fettle-georgia-medical-cannabis-plant,Georgia Public Broadcasting,False
21,Macon lands 600 jobs in $418M industry expansion,https://www.gpb.org/news/2024/05/23/macon-lands-600-jobs-in-418m-industry-expansion,Georgia Public Broadcasting,False
22,Voter beware of Macon-Bibb ballot confusion,https://www.gpb.org/news/2024/05/20/voter-beware-of-macon-bibb-ballot-confusion,Georgia Public Broadcasting,False
23,Macon Museum's Bat Cave Offers A Unique Animal Experience,https://www.gpb.org/news/2021/06/21/macon-museums-bat-cave-offers-unique-animal-experience,Georgia Public Broadcasting,True
24,A Macon day camp introduces kids to the ethics of AI,https://www.gpb.org/news/2024/07/01/macon-day-camp-introduces-kids-the-ethics-of-ai,Georgia Public Broadcasting,True
25,"As Reno’s Latino population diversifies, so does its food scene",https://www.kunr.org/local-stories/2023-08-25/as-renos-latino-population-diversifies-so-does-its-food-scene,KUNR,True
26,"Hip-hop in Reno battles to grow, despite continued setbacks 50 years after its founding",https://www.kunr.org/local-stories/2023-09-01/hip-hop-reno-battles-grow-despite-continued-setbacks-50-years-after-founding,KUNR,True
27,The hills are alive with the sound of recreation — and a study shows animals react to that noise,https://www.kunr.org/2024-07-05/the-hills-are-alive-with-the-sound-of-recreation-and-a-study-shows-animals-react-to-that-noise,KUNR,False
28,"Western governors release plans, policies to help ‘decarbonize the West’ amid climate change",https://www.kunr.org/local-stories/2024-06-13/western-governors-plans-policies-decarbonize-west-climate-change,KUNR,False
29,Rastreadores de contactos bilingües hacen frente a fallas en mensajes de salud pública,https://www.kunr.org/en-espanol/2021-01-22/rastreadores-de-contactos-bilingues-hacen-frente-a-fallas-en-mensajes-de-salud-publica,KUNR,True
30,Denison Class of 2020 members return for graduation celebration COVID-19 took from them,https://www.newarkadvocate.com/story/news/2022/06/08/denison-2020-grads-returning-commencement-covid-19-took-them/7505490001/,newarkadvocate,True
31,Why didn't 'Morning Joe' air on Monday? MSNBC says show will resume normally Tuesday,https://www.newarkadvocate.com/story/entertainment/tv/2024/07/15/msnbc-morning-joe-pulled-monday/74408392007/,newarkadvocate,False
32,Women’s group founded in Granville will fight for abortion access in ‘a world without Roe v. Wade’,https://www.newarkadvocate.com/story/news/local/2022/06/27/womens-group-granville-fight-abortion-access/7723545001/,newarkadvocate,True
36,"Along the Great Salt Lake’s shores, a podcast is telling stories of peril and hope",https://www.sltrib.com/news/environment/2024/06/02/along-great-salt-lakes-shores/,The Salt Lake Tribune,True
37,"Utah cohousing community shares shovels, meals and a love for Great Salt Lake",https://www.sltrib.com/amplify-utah/2024/05/20/utah-cohousing-community-shares/,The Salt Lake Tribune,True
38,New film fuses art and Indigenous voices to spotlight Great Salt Lake’s plight,https://www.sltrib.com/amplify-utah/2024/04/30/new-film-fuses-art-indigenous/,The Salt Lake Tribune,True
39,"A Utah gardening nonprofit helps homeless women put down roots, grow a better life",https://www.sltrib.com/news/2024/07/15/utah-gardening-nonprofit-helps/,The Salt Lake Tribune,False
